frame,x,y,status
10952,,,noball
10953,,,noball
10954,,,noball
10955,,,noball
10956,,,noball
10957,,,noball
10958,,,noball
10959,,,noball
10960,,,noball
10961,,,noball
10962,,,noball
10963,,,noball
10964,,,noball
10965,,,noball
10966,,,noball
10967,,,noball
10968,,,noball
10969,1250.0,559.0,auto
10970,1250.0,525.0,auto
10971,1252.0,492.0,auto
10972,1252.0,461.0,auto
10973,1253.0,428.0,auto
10974,1255.0,400.0,auto
10975,1257.0,374.0,auto
10976,1258.0,347.0,auto
10977,1258.0,324.0,auto
10978,1260.0,303.0,auto
10979,1260.0,281.0,auto
10980,1262.0,262.0,auto
10981,1261.0,247.0,auto
10982,1260.0,231.0,auto
10983,1263.0,216.0,auto
10984,1101.0,316.0,flag
10985,,,noball
10986,,,noball
10987,,,noball
10988,,,noball
10989,,,noball
10990,,,noball
10991,,,noball
10992,,,noball
10993,,,noball
10994,,,noball
10995,,,noball
10996,,,noball
10997,,,noball
10998,,,noball
10999,,,noball
11000,,,noball
11001,,,noball
11002,,,noball
11003,,,noball
11004,,,noball
11005,,,noball
11006,,,noball
11007,,,noball
11008,1095.0,412.0,auto
11009,1090.2,418.2,interp
11010,1085.5,424.5,interp
11011,1080.8,430.8,interp
11012,1076.0,437.0,auto
11013,1075.0,430.3,interp
11014,1074.0,423.7,interp
11015,1073.0,417.0,auto
11016,1071.0,410.0,auto
11017,1073.0,397.0,auto
11018,1072.0,392.0,auto
11019,1072.0,388.0,auto
11020,,,noball
11021,,,noball
11022,,,noball
11023,,,noball
11024,,,noball
11025,,,noball
11026,,,noball
11027,,,noball
11028,,,noball
11029,,,noball
11030,,,noball
11031,,,noball
11032,,,noball
11033,,,noball
11034,,,noball
11035,,,noball
11036,,,noball
11037,,,noball
11038,,,noball
11039,,,noball
11040,,,noball
11041,,,noball
11042,,,noball
11043,,,noball
11044,,,noball
11045,,,noball
11046,,,noball
11047,,,noball
11048,,,noball
11049,,,noball
11050,,,noball
11051,,,noball
11052,,,noball
11053,,,noball
11054,,,noball
11055,,,noball
11056,,,noball
11057,,,noball
11058,,,noball
11059,,,noball
11060,,,noball
11061,,,noball
11062,,,noball
11063,,,noball
11064,,,noball
11065,,,noball
11066,,,noball
11067,,,noball
11068,,,noball
11069,,,noball
11070,,,noball
11071,,,noball
11072,,,noball
11073,,,noball
11074,,,noball
11075,,,noball
11076,,,noball
11077,945.0,315.0,auto
11078,951.0,316.0,auto
11079,968.2,341.8,interp
11080,985.5,367.5,interp
11081,1002.8,393.2,interp
11082,1020.0,419.0,auto
11083,998.7,383.0,interp
11084,977.3,347.0,interp
11085,956.0,311.0,auto
11086,,,noball
11087,,,noball
11088,,,noball
11089,,,noball
11090,,,noball
11091,,,noball
11092,,,noball
11093,,,noball
11094,,,noball
11095,,,noball
11096,,,noball
11097,,,noball
11098,,,noball
11099,,,noball
11100,,,noball
11101,,,noball
11102,,,noball
11103,,,noball
11104,,,noball
11105,,,noball
11106,,,noball
11107,,,noball
11108,,,noball
11109,,,noball
11110,,,noball
11111,,,noball
11112,,,noball
11113,,,noball
11114,,,noball
11115,,,noball
11116,,,noball
11117,1032.0,313.0,flag
11118,1034.0,311.0,flag
11119,1036.0,311.0,flag
11120,,,noball
11121,,,noball
11122,,,noball
11123,,,noball
11124,,,noball
11125,,,noball
11126,,,noball
11127,,,noball
11128,,,noball
11129,,,noball
11130,,,noball
11131,,,noball
11132,,,noball
11133,,,noball
11134,,,noball
11135,,,noball
11136,,,noball
11137,,,noball
11138,,,noball
11139,,,noball
11140,,,noball
11141,,,noball
11142,,,noball
11143,,,noball
11144,,,noball
11145,,,noball
11146,,,noball
11147,,,noball
11148,,,noball
11149,,,noball
11150,,,noball
11151,,,noball
11152,,,noball
11153,,,noball
11154,,,noball
11155,,,noball
11156,,,noball
11157,,,noball
11158,,,noball
11159,,,noball
11160,,,noball
11161,,,noball
11162,,,noball
11163,,,noball
11164,,,noball
11165,,,noball
11166,,,noball
11167,,,noball
11168,,,noball
11169,,,noball
11170,,,noball
11171,,,noball
11172,,,noball
11173,,,noball
11174,,,noball
11175,,,noball
11176,,,noball
11177,,,noball
11178,,,noball
11179,,,noball
11180,,,noball
11181,,,noball
11182,,,noball
11183,,,noball
11184,,,noball
11185,,,noball
11186,1149.0,308.0,flag
11187,1148.0,307.0,flag
11188,,,noball
11189,,,noball
11190,,,noball
11191,,,noball
11192,,,noball
11193,,,noball
11194,,,noball
11195,,,noball
11196,,,noball
11197,,,noball
11198,,,noball
11199,,,noball
11200,,,noball
11201,,,noball
11202,,,noball
11203,,,noball
11204,,,noball
11205,,,noball
11206,,,noball
11207,,,noball
11208,,,noball
11209,,,noball
11210,,,noball
11211,,,noball
11212,1185.0,304.0,flag
11213,1192.0,305.0,flag
11214,,,noball
11215,,,noball
11216,,,noball
11217,,,noball
11218,,,noball
11219,,,noball
11220,,,noball
11221,,,noball
11222,,,noball
11223,,,noball
11224,,,noball
11225,,,noball
11226,,,noball
11227,,,noball
11228,,,noball
11229,,,noball
11230,,,noball
11231,,,noball
11232,,,noball
11233,,,noball
11234,,,noball
11235,,,noball
11236,,,noball
11237,,,noball
11238,,,noball
11239,,,noball
11240,,,noball
11241,,,noball
11242,,,noball
11243,,,noball
11244,,,noball
11245,,,noball
11246,,,noball
11247,,,noball
11248,,,noball
11249,,,noball
11250,,,noball
11251,,,noball
11252,,,noball
11253,,,noball
11254,,,noball
11255,,,noball
11256,,,noball
11257,,,noball
11258,,,noball
11259,,,noball
11260,,,noball
11261,,,noball
11262,,,noball
11263,,,noball
11264,,,noball
11265,,,noball
11266,,,noball
11267,,,noball
11268,,,noball
11269,,,noball
11270,,,noball
11271,,,noball
11272,,,noball
11273,,,noball
11274,,,noball
11275,,,noball
11276,,,noball
11277,,,noball
11278,,,noball
11279,,,noball
11280,,,noball
11281,,,noball
11282,,,noball
11283,,,noball
11284,,,noball
11285,,,noball
11286,904.0,436.0,flag
11287,,,noball
11288,,,noball
11289,,,noball
11290,,,noball
11291,,,noball
11292,,,noball
11293,,,noball
11294,,,noball
11295,,,noball
11296,,,noball
11297,,,noball
11298,,,noball
11299,,,noball
11300,,,noball
11301,,,noball
11302,825.0,296.0,flag
11303,,,noball
11304,,,noball
11305,,,noball
11306,944.0,541.0,flag
11307,,,noball
11308,,,noball
11309,906.0,481.0,flag
11310,,,noball
11311,,,noball
11312,,,noball
11313,,,noball
11314,,,noball
11315,973.0,396.0,flag
11316,,,noball
11317,,,noball
11318,,,noball
11319,,,noball
11320,,,noball
11321,,,noball
11322,,,noball
11323,,,noball
11324,,,noball
11325,,,noball
11326,,,noball
11327,,,noball
11328,988.0,398.0,flag
11329,989.0,405.0,flag
11330,990.0,410.0,flag
11331,,,noball
11332,,,noball
11333,,,noball
11334,,,noball
11335,,,noball
11336,,,noball
11337,,,noball
11338,,,noball
11339,832.0,294.0,flag
11340,,,noball
11341,,,noball
11342,,,noball
11343,,,noball
11344,,,noball
11345,,,noball
11346,,,noball
11347,,,noball
11348,,,noball
11349,,,noball
11350,,,noball
11351,,,noball
11352,,,noball
11353,,,noball
11354,,,noball
11355,879.0,461.0,flag
11356,,,noball
11357,,,noball
11358,,,noball
11359,,,noball
11360,,,noball
11361,,,noball
11362,,,noball
11363,,,noball
11364,,,noball
11365,,,noball
11366,,,noball
11367,,,noball
11368,,,noball
11369,,,noball
11370,,,noball
11371,,,noball
11372,,,noball
11373,,,noball
11374,,,noball
11375,,,noball
11376,,,noball
11377,,,noball
11378,,,noball
11379,,,noball
11380,,,noball
11381,,,noball
11382,,,noball
11383,,,noball
11384,,,noball
11385,,,noball
11386,,,noball
11387,,,noball
11388,,,noball
11389,,,noball
11390,,,noball
11391,,,noball
11392,,,noball
11393,,,noball
11394,,,noball
11395,,,noball
11396,,,noball
11397,,,noball
11398,,,noball
11399,,,noball
11400,,,noball
11401,,,noball
11402,,,noball
11403,,,noball
11404,,,noball
11405,,,noball
11406,,,noball
11407,,,noball
11408,856.0,289.0,flag
11409,,,noball
11410,,,noball
11411,,,noball
11412,,,noball
11413,,,noball
11414,,,noball
11415,,,noball
11416,,,noball
11417,,,noball
11418,,,noball
11419,,,noball
11420,,,noball
11421,,,noball
11422,,,noball
11423,,,noball
11424,,,noball
11425,,,noball
11426,,,noball
11427,,,noball
11428,,,noball
11429,,,noball
11430,,,noball
11431,,,noball
11432,,,noball
11433,,,noball
11434,,,noball
11435,,,noball
11436,,,noball
11437,,,noball
11438,,,noball
11439,,,noball
11440,955.0,648.0,flag
11441,,,noball
11442,,,noball
11443,,,noball
11444,,,noball
11445,,,noball
11446,,,noball
11447,,,noball
11448,,,noball
11449,,,noball
11450,,,noball
11451,,,noball
11452,,,noball
11453,,,noball
11454,,,noball
11455,,,noball
11456,,,noball
11457,,,noball
11458,,,noball
11459,,,noball
11460,,,noball
11461,,,noball
11462,990.0,682.0,auto
11463,995.0,668.0,auto
11464,997.0,655.0,auto
11465,1005.0,645.0,auto
11466,987.2,666.2,interp
11467,969.4,687.4,interp
11468,951.6,708.6,interp
11469,933.8,729.8,interp
11470,916.0,751.0,auto
11471,900.0,755.0,auto
11472,891.0,734.0,auto
11473,881.0,722.0,auto
11474,869.0,711.0,auto
11475,,,noball
11476,,,noball
11477,,,noball
11478,,,noball
11479,,,noball
11480,,,noball
11481,,,noball
11482,,,noball
11483,,,noball
11484,776.0,726.0,auto
11485,776.0,744.0,auto
11486,772.0,765.0,auto
11487,775.0,781.0,auto
11488,765.0,755.0,auto
11489,761.0,738.0,auto
11490,758.0,721.0,auto
11491,754.0,708.0,auto
11492,750.0,694.0,auto
11493,746.0,682.0,auto
11494,743.0,672.0,auto
11495,750.8,694.5,interp
11496,758.5,717.0,interp
11497,766.2,739.5,interp
11498,774.0,762.0,auto
11499,782.0,765.0,auto
11500,,,noball
11501,707.0,453.0,flag
11502,,,noball
11503,,,noball
11504,,,noball
11505,,,noball
11506,,,noball
11507,,,noball
11508,,,noball
11509,,,noball
11510,,,noball
11511,,,noball
11512,,,noball
11513,,,noball
11514,,,noball
11515,,,noball
11516,,,noball
11517,,,noball
11518,,,noball
11519,,,noball
11520,,,noball
11521,,,noball
11522,,,noball
11523,,,noball
11524,,,noball
11525,,,noball
11526,689.0,383.0,flag
11527,660.0,332.0,flag
11528,,,noball
11529,,,noball
11530,,,noball
11531,,,noball
11532,,,noball
11533,,,noball
11534,,,noball
11535,,,noball
11536,,,noball
11537,,,noball
11538,,,noball
11539,803.0,748.0,auto
11540,803.0,769.0,auto
11541,801.5,746.0,interp
11542,800.0,723.0,auto
11543,796.5,705.5,interp
11544,793.0,688.0,auto
11545,792.0,670.0,interp
11546,791.0,652.0,auto
11547,789.0,639.0,auto
11548,,,noball
11549,,,noball
11550,,,noball
11551,,,noball
11552,,,noball
11553,,,noball
11554,,,noball
11555,,,noball
11556,,,noball
11557,,,noball
11558,,,noball
11559,,,noball
11560,,,noball
11561,,,noball
11562,,,noball
11563,,,noball
11564,,,noball
11565,,,noball
11566,789.0,684.0,flag
11567,,,noball
11568,,,noball
11569,,,noball
11570,,,noball
11571,,,noball
11572,,,noball
11573,,,noball
11574,,,noball
11575,,,noball
11576,,,noball
11577,,,noball
11578,,,noball
11579,,,noball
11580,,,noball
11581,,,noball
11582,,,noball
11583,1136.0,279.0,flag
11584,,,noball
11585,,,noball
11586,,,noball
11587,,,noball
11588,,,noball
11589,,,noball
11590,,,noball
11591,,,noball
11592,,,noball
11593,,,noball
11594,,,noball
11595,,,noball
11596,,,noball
11597,,,noball
11598,,,noball
11599,,,noball
11600,775.0,481.0,auto
11601,774.0,453.0,auto
11602,774.0,425.0,auto
11603,774.0,397.0,auto
11604,777.0,374.0,auto
11605,777.0,349.0,auto
11606,776.0,329.0,auto
11607,777.0,307.0,auto
11608,777.0,289.0,auto
11609,779.0,272.0,auto
11610,779.0,258.0,auto
11611,780.0,244.0,auto
11612,780.0,233.0,auto
11613,783.0,224.0,auto
11614,,,noball
11615,,,noball
11616,,,noball
11617,,,noball
11618,,,noball
11619,791.0,205.0,auto
11620,793.5,209.5,interp
11621,796.0,214.0,auto
11622,797.0,220.0,auto
11623,799.0,229.0,auto
11624,802.0,239.0,auto
11625,803.0,251.0,auto
11626,807.0,264.0,auto
11627,808.0,279.0,auto
11628,811.0,296.0,auto
11629,814.0,315.0,auto
11630,851.5,337.5,interp
11631,889.0,360.0,auto
11632,945.0,378.0,auto
11633,978.5,391.0,interp
11634,1012.0,404.0,auto
11635,1035.0,413.0,auto
11636,1053.0,420.0,auto
11637,1069.0,431.0,auto
11638,,,noball
11639,,,noball
11640,,,noball
11641,,,noball
11642,,,noball
11643,,,noball
11644,,,noball
11645,,,noball
11646,,,noball
11647,1108.0,436.0,auto
11648,1109.5,430.5,interp
11649,1111.0,425.0,auto
11650,1113.0,419.0,interp
11651,1115.0,413.0,auto
11652,1115.0,411.0,auto
11653,1117.3,406.7,interp
11654,1119.7,402.3,interp
11655,1122.0,398.0,auto
11656,1125.0,394.0,auto
11657,1126.0,393.0,auto
11658,1125.0,394.0,auto
11659,1129.0,394.0,auto
11660,1126.3,390.3,interp
11661,1123.7,386.7,interp
11662,1121.0,383.0,auto
11663,1114.0,382.0,auto
11664,1110.0,371.0,auto
11665,1107.0,367.0,auto
11666,1101.0,365.0,auto
11667,1098.0,364.0,auto
11668,1088.0,357.0,auto
11669,1081.0,353.0,auto
11670,1078.0,350.0,auto
11671,1071.0,346.0,auto
11672,1063.0,346.0,auto
11673,1055.0,342.0,auto
11674,1048.0,342.0,auto
11675,1041.0,342.0,auto
11676,1033.0,342.0,auto
11677,1026.0,342.0,auto
11678,1019.0,342.0,auto
11679,1012.0,343.0,auto
11680,998.0,345.0,auto
11681,990.0,349.0,auto
11682,981.0,353.0,auto
11683,968.0,357.0,auto
11684,958.0,365.0,auto
11685,946.0,369.0,auto
11686,936.0,376.0,auto
11687,923.0,386.0,auto
11688,912.0,395.0,auto
11689,897.5,406.0,interp
11690,883.0,417.0,auto
11691,868.5,432.0,interp
11692,854.0,447.0,auto
11693,838.0,464.0,auto
11694,822.0,477.0,auto
11695,810.0,503.0,auto
11696,787.5,527.5,interp
11697,765.0,552.0,auto
11698,744.0,580.0,auto
11699,727.0,608.0,auto
11700,711.0,596.0,auto
11701,696.0,585.0,auto
11702,682.0,577.0,auto
11703,664.0,569.0,auto
11704,647.0,561.0,auto
11705,629.0,554.0,auto
11706,613.0,549.0,auto
11707,593.0,546.0,auto
11708,575.0,543.0,auto
11709,554.0,542.0,auto
11710,533.0,541.0,auto
11711,511.0,542.0,auto
11712,489.0,546.0,auto
11713,465.0,550.0,auto
11714,441.0,556.0,auto
11715,416.0,563.0,auto
11716,,,noball
11717,,,noball
11718,,,noball
11719,,,noball
11720,,,noball
11721,,,noball
11722,,,noball
11723,,,noball
11724,,,noball
11725,,,noball
11726,,,noball
11727,,,noball
11728,,,noball
11729,,,noball
11730,,,noball
11731,,,noball
11732,,,noball
11733,,,noball
11734,,,noball
11735,,,noball
11736,,,noball
11737,,,noball
11738,,,noball
11739,,,noball
11740,,,noball
11741,,,noball
11742,,,noball
11743,,,noball
11744,,,noball
11745,,,noball
11746,,,noball
11747,,,noball
11748,,,noball
11749,,,noball
11750,,,noball
11751,,,noball
11752,,,noball
11753,,,noball
11754,,,noball
11755,,,noball
11756,1116.0,786.0,flag
11757,,,noball
11758,,,noball
11759,,,noball
11760,946.0,434.0,flag
11761,,,noball
11762,,,noball
11763,,,noball
11764,,,noball
11765,,,noball
11766,,,noball
11767,,,noball
11768,,,noball
11769,1082.0,784.0,flag
11770,,,noball
11771,,,noball
11772,,,noball
11773,1538.0,780.0,flag
11774,,,noball
11775,,,noball
11776,1077.0,778.0,auto
11777,1082.0,784.0,auto
11778,1082.0,783.0,interp
11779,1082.0,782.0,auto
11780,1082.4,781.6,interp
11781,1082.8,781.2,interp
11782,1083.2,780.8,interp
11783,1083.6,780.4,interp
11784,1084.0,780.0,auto
11785,1042.3,713.3,interp
11786,1000.7,646.7,interp
11787,959.0,580.0,auto
11788,,,noball
11789,,,noball
11790,,,noball
11791,,,noball
11792,,,noball
11793,,,noball
11794,,,noball
11795,,,noball
11796,,,noball
11797,,,noball
11798,,,noball
11799,1195.0,572.0,flag
11800,1185.0,784.0,flag
11801,,,noball
11802,,,noball
11803,,,noball
11804,,,noball
11805,,,noball
11806,802.0,720.0,flag
11807,793.0,701.0,flag
11808,,,noball
11809,,,noball
11810,1208.0,407.0,flag
11811,,,noball
11812,,,noball
11813,,,noball
11814,,,noball
11815,,,noball
11816,,,noball
11817,,,noball
11818,,,noball
11819,,,noball
11820,,,noball
11821,,,noball
11822,,,noball
11823,,,noball
11824,,,noball
11825,,,noball
11826,,,noball
11827,,,noball
11828,,,noball
11829,,,noball
11830,789.0,686.0,flag
11831,787.0,675.0,flag
11832,,,noball
11833,,,noball
11834,,,noball
11835,,,noball
11836,,,noball
11837,,,noball
11838,,,noball
11839,,,noball
11840,,,noball
11841,,,noball
11842,,,noball
11843,,,noball
11844,,,noball
11845,,,noball
11846,,,noball
11847,,,noball
11848,,,noball
11849,,,noball
11850,,,noball
11851,,,noball
11852,,,noball
11853,,,noball
11854,,,noball
11855,,,noball
11856,,,noball
11857,,,noball
11858,,,noball
11859,,,noball
11860,,,noball
11861,,,noball
11862,671.0,315.0,auto
11863,716.0,389.5,interp
11864,761.0,464.0,auto
11865,761.0,435.0,auto
11866,760.0,408.0,auto
11867,761.0,381.0,auto
11868,762.0,356.0,auto
11869,761.0,332.0,auto
11870,762.0,310.0,auto
11871,763.0,288.0,auto
11872,764.0,270.0,auto
11873,764.0,254.0,auto
11874,765.0,240.0,auto
11875,765.0,225.0,auto
11876,765.0,214.0,auto
11877,769.0,206.0,auto
11878,,,noball
11879,,,noball
11880,,,noball
11881,,,noball
11882,,,noball
11883,,,noball
11884,,,noball
11885,,,noball
11886,,,noball
11887,783.0,212.0,auto
11888,783.0,222.0,auto
11889,787.0,234.0,auto
11890,788.0,248.0,auto
11891,791.0,265.0,auto
11892,795.0,281.0,auto
11893,795.0,300.0,auto
11894,803.0,322.0,auto
11895,848.0,340.0,auto
11896,914.0,353.0,auto
11897,963.0,367.0,auto
11898,1005.0,378.0,auto
11899,1040.0,389.0,auto
11900,1069.0,398.0,auto
11901,1095.0,407.0,auto
11902,1118.0,417.0,auto
11903,1140.0,427.0,auto
11904,1155.0,435.0,auto
11905,1171.0,443.0,auto
11906,1187.0,451.0,auto
11907,1192.0,455.0,auto
11908,,,noball
11909,,,noball
11910,,,noball
11911,,,noball
11912,,,noball
11913,,,noball
11914,,,noball
11915,,,noball
11916,,,noball
11917,,,noball
11918,,,noball
11919,,,noball
11920,,,noball
11921,,,noball
11922,,,noball
11923,,,noball
11924,,,noball
11925,,,noball
11926,,,noball
11927,,,noball
11928,,,noball
11929,,,noball
11930,,,noball
11931,,,noball
11932,,,noball
11933,,,noball
11934,,,noball
11935,,,noball
11936,,,noball
11937,,,noball
11938,,,noball
11939,,,noball
11940,,,noball
11941,,,noball
11942,,,noball
11943,,,noball
11944,,,noball
11945,,,noball
11946,,,noball
11947,,,noball
11948,,,noball
11949,,,noball
11950,,,noball
11951,,,noball
11952,,,noball
11953,,,noball
11954,,,noball
11955,,,noball
11956,,,noball
11957,,,noball
11958,,,noball
11959,,,noball
11960,,,noball
11961,,,noball
11962,,,noball
11963,,,noball
11964,,,noball
11965,,,noball
11966,,,noball
11967,,,noball
11968,,,noball
11969,,,noball
11970,,,noball
11971,,,noball
11972,,,noball
11973,,,noball
11974,,,noball
11975,,,noball
11976,,,noball
11977,,,noball
11978,,,noball
11979,,,noball
11980,,,noball
11981,,,noball
11982,,,noball
11983,,,noball
11984,,,noball
11985,,,noball
11986,,,noball
11987,,,noball
11988,,,noball
11989,,,noball
11990,,,noball
11991,,,noball
11992,,,noball
11993,,,noball
11994,,,noball
11995,,,noball
11996,,,noball
11997,,,noball
11998,,,noball
11999,,,noball
12000,,,noball
12001,,,noball
12002,,,noball
12003,,,noball
12004,,,noball
12005,,,noball
12006,,,noball
12007,,,noball
12008,,,noball
12009,,,noball
12010,,,noball
12011,,,noball
12012,,,noball
12013,,,noball
12014,,,noball
12015,,,noball
12016,,,noball
12017,,,noball
12018,,,noball
12019,,,noball
12020,,,noball
12021,,,noball
12022,,,noball
12023,,,noball
12024,,,noball
12025,,,noball
12026,,,noball
12027,,,noball
12028,,,noball
12029,,,noball
12030,,,noball
12031,,,noball
12032,,,noball
12033,,,noball
12034,,,noball
12035,,,noball
12036,,,noball
12037,,,noball
12038,,,noball
12039,,,noball
12040,,,noball
12041,,,noball
12042,,,noball
12043,,,noball
12044,,,noball
12045,,,noball
12046,,,noball
12047,,,noball
12048,,,noball
12049,,,noball
12050,,,noball
12051,,,noball
12052,,,noball
12053,,,noball
12054,,,noball
12055,,,noball
12056,,,noball
12057,,,noball
12058,,,noball
12059,,,noball
12060,,,noball
12061,,,noball
12062,,,noball
12063,,,noball
12064,,,noball
12065,,,noball
12066,,,noball
12067,,,noball
12068,,,noball
12069,,,noball
12070,,,noball
12071,,,noball
12072,,,noball
12073,,,noball
12074,,,noball
12075,,,noball
12076,,,noball
12077,,,noball
12078,,,noball
12079,,,noball
12080,,,noball
12081,,,noball
12082,,,noball
12083,,,noball
12084,,,noball
12085,,,noball
12086,,,noball
12087,,,noball
12088,,,noball
12089,,,noball
12090,,,noball
12091,,,noball
12092,,,noball
12093,,,noball
12094,,,noball
12095,,,noball
12096,,,noball
12097,,,noball
12098,,,noball
12099,,,noball
12100,513.0,452.0,flag
12101,519.0,405.0,flag
12102,,,noball
12103,,,noball
12104,,,noball
12105,,,noball
12106,,,noball
12107,,,noball
12108,,,noball
12109,,,noball
12110,,,noball
12111,,,noball
12112,,,noball
12113,,,noball
12114,1048.0,578.0,flag
12115,,,noball
12116,1041.0,581.0,flag
12117,1040.0,584.0,flag
12118,,,noball
12119,1032.0,584.0,flag
12120,1030.0,584.0,flag
12121,,,noball
12122,1025.0,590.0,flag
12123,,,noball
12124,,,noball
12125,,,noball
12126,,,noball
12127,,,noball
12128,,,noball
12129,,,noball
12130,,,noball
12131,,,noball
12132,,,noball
12133,,,noball
12134,,,noball
12135,,,noball
12136,,,noball
12137,978.0,611.0,flag
12138,,,noball
12139,971.0,614.0,flag
12140,,,noball
12141,,,noball
12142,,,noball
12143,,,noball
12144,,,noball
12145,,,noball
12146,,,noball
12147,,,noball
12148,,,noball
12149,,,noball
12150,,,noball
12151,,,noball
12152,928.0,632.0,flag
12153,,,noball
12154,922.0,637.0,flag
12155,916.0,639.0,flag
12156,,,noball
12157,910.0,642.0,flag
12158,907.0,644.0,flag
12159,904.0,645.0,flag
12160,897.0,648.0,flag
12161,,,noball
12162,,,noball
12163,,,noball
12164,,,noball
12165,,,noball
12166,870.0,664.0,auto
12167,865.5,666.5,interp
12168,861.0,669.0,auto
12169,857.0,670.0,auto
12170,851.0,675.0,auto
12171,847.0,678.0,auto
12172,842.0,680.0,auto
12173,837.0,682.0,auto
12174,832.0,685.0,auto
12175,826.0,689.0,auto
12176,821.0,693.0,auto
12177,817.0,697.0,auto
12178,811.0,699.0,auto
12179,806.0,702.0,auto
12180,799.0,705.0,auto
12181,794.0,708.0,auto
12182,787.0,712.0,auto
12183,782.0,715.0,auto
12184,775.0,719.0,auto
12185,769.0,723.0,auto
12186,763.0,726.5,interp
12187,757.0,730.0,auto
12188,750.0,734.0,auto
12189,744.0,737.0,auto
12190,738.0,742.0,auto
12191,731.0,745.0,auto
12192,725.0,749.0,auto
12193,719.0,752.0,auto
12194,712.0,756.0,auto
